intExpID,Type,Case,Protocol,total_users,user_no,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,seg_Dur,width,height,resolutions,Clae,Duanmu,Yin,Yu,P1203
24,5g,Driving-7,tcp,1,1,27,34672,1001,0,3918,9492,4750,1187748,20455,bba,2000,1920,1080,1920x1080,1.325,61.873,60932.914,2.393,3.77
24,5g,Driving-7,tcp,1,1,28,36442,771,0,3918,11762,4534,1133573,20685,bba,2000,1920,1080,1920x1080,1.381,62.254,64851.335,2.448,3.793
24,5g,Driving-7,tcp,1,1,29,38168,742,0,3918,11390,4225,1056475,20959,bba,2000,1920,1080,1920x1080,1.437,62.61,68769.756,2.498,3.814
24,5g,Driving-7,tcp,1,1,30,39385,226,0,3918,33771,3816,954031,21743,bba,2000,1920,1080,1920x1080,1.492,62.941,72688.177,2.546,3.817
24,5g,Driving-7,tcp,1,1,31,41104,690,0,4375,9704,3348,837012,22024,bba,2000,1920,1080,1920x1080,1.538,63.354,76606.598,2.605,3.839
24,5g,Driving-7,tcp,1,1,32,42891,777,0,4375,10004,3886,971715,22237,bba,2000,1920,1080,1920x1080,1.584,63.741,80981.617,2.66,3.856
24,5g,Driving-7,tcp,1,1,33,45413,1500,0,4375,6048,4536,1134060,21715,bba,2000,1920,1080,1920x1080,1.632,64.105,85356.636,2.712,3.873
24,5g,Driving-7,tcp,1,1,34,47459,834,0,4375,6797,2834,708619,21669,bba,2000,1920,1080,1920x1080,1.68,64.447,89731.655,2.761,3.887
24,5g,Driving-7,tcp,1,1,35,49225,718,0,4375,10063,3612,903187,21903,bba,2000,1920,1080,1920x1080,1.727,64.77,94106.674,2.807,3.903
24,5g,Driving-7,tcp,1,1,36,50801,502,0,4375,8768,2200,550206,22328,bba,2000,1920,1080,1920x1080,1.775,65.075,98481.693,2.85,3.919
24,5g,Driving-7,tcp,1,1,37,52330,446,0,4375,11507,2566,641568,22800,bba,2000,1920,1080,1920x1080,1.822,65.363,102856.712,2.892,3.935
24,5g,Driving-7,tcp,1,1,38,53809,402,0,4375,11446,2300,575203,23322,bba,2000,1920,1080,1920x1080,1.868,65.637,107231.731,2.931,3.951
24,5g,Driving-7,tcp,1,1,39,55286,434,0,4375,10744,2331,582905,23845,bba,2000,1920,1080,1920x1080,1.914,65.896,111606.75,2.968,3.967
24,5g,Driving-7,tcp,1,1,40,56996,559,0,4375,8528,2383,595956,24136,bba,2000,1920,1080,1920x1080,1.958,66.142,115981.769,3.003,3.982
24,5g,Driving-7,tcp,1,1,41,58703,609,0,4375,8853,2695,673957,24429,bba,2000,1920,1080,1920x1080,2.002,66.376,120356.788,3.036,3.995
24,5g,Driving-7,tcp,1,1,42,63663,3435,0,4375,1678,2883,720811,21470,bba,2000,1920,1080,1920x1080,2.045,66.6,124731.807,3.068,4.008
24,5g,Driving-7,tcp,1,1,43,66836,1487,0,239,191,142,35513,20298,bba,2000,320,180,320x180,1.882,66.396,120835.818,3.002,3.71
24,5g,Driving-7,tcp,1,1,44,71740,2688,0,239,140,188,47067,17394,bba,2000,320,180,320x180,1.733,65.957,121075.333,2.94,3.493
24,5g,Driving-7,tcp,1,1,45,74053,823,0,239,263,108,27108,17081,bba,2000,320,180,320x180,1.597,65.537,121314.848,2.88,3.344
24,5g,Driving-7,tcp,1,1,46,77185,1639,0,239,128,105,26359,15950,bba,2000,320,180,320x180,1.471,65.135,121554.363,2.822,3.238
24,5g,Driving-7,tcp,1,1,47,79813,1030,0,239,249,128,32152,15322,bba,2000,320,180,320x180,1.355,64.75,121793.878,2.767,3.131
24,5g,Driving-7,tcp,1,1,48,83853,1811,0,239,135,122,30725,13283,bba,2000,320,180,320x180,1.247,64.382,122033.393,2.715,3.007
24,5g,Driving-7,tcp,1,1,49,87030,1486,0,239,197,146,36678,12106,bba,2000,320,180,320x180,1.147,64.028,122272.908,2.664,2.853
24,5g,Driving-7,tcp,1,1,50,89853,1145,0,239,212,121,30369,11284,bba,2000,320,180,320x180,1.053,63.689,122512.423,2.616,2.806
