intExpID,Type,Case,Protocol,total_users,user_no,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,seg_Dur,width,height,resolutions,Clae,Duanmu,Yin,Yu,P1203
60,5g,Driving-10,tcp,1,1,75,132740,22,0,766,1781,19,4898,18477,elastic,2000,512,288,512x288,0.558,61.763,166080.374,2.359,2.701
60,5g,Driving-10,tcp,1,1,76,134298,217,0,766,8055,874,218505,18920,elastic,2000,512,288,512x288,0.534,61.616,166846.672,2.338,2.694
60,5g,Driving-10,tcp,1,1,77,135964,292,0,766,8726,1274,318506,19254,elastic,2000,512,288,512x288,0.511,61.473,167612.97,2.318,2.691
60,5g,Driving-10,tcp,1,1,78,137947,421,0,1077,9404,1979,494919,19271,elastic,2000,640,360,640x360,0.499,61.349,168379.268,2.302,2.716
60,5g,Driving-10,tcp,1,1,79,139749,361,0,1077,8821,1592,398068,19470,elastic,2000,640,360,640x360,0.488,61.241,169457.19,2.287,2.72
60,5g,Driving-10,tcp,1,1,80,142224,1084,0,1077,3258,1766,441509,18996,elastic,2000,640,360,640x360,0.477,61.135,170535.112,2.271,2.739
60,5g,Driving-10,tcp,1,1,81,144692,1049,0,1801,4823,2529,632493,18528,elastic,2000,736,414,736x414,0.485,61.098,171613.034,2.266,2.759
60,5g,Driving-10,tcp,1,1,82,146824,747,0,1077,3767,1407,351764,18397,elastic,2000,640,360,640x360,0.474,61,171967.544,2.251,2.749
60,5g,Driving-10,tcp,1,1,83,148733,465,0,1077,5463,1270,317578,18488,elastic,2000,640,360,640x360,0.464,60.901,173045.466,2.237,2.756
60,5g,Driving-10,tcp,1,1,84,150486,313,0,1077,9247,1447,361812,18735,elastic,2000,640,360,640x360,0.455,60.804,174123.388,2.223,2.765
60,5g,Driving-10,tcp,1,1,85,152182,288,0,1077,9486,1366,341520,19039,elastic,2000,640,360,640x360,0.446,60.71,175201.31,2.21,2.772
60,5g,Driving-10,tcp,1,1,86,153824,197,0,1077,11430,1125,281467,19397,elastic,2000,640,360,640x360,0.437,60.618,176279.232,2.197,2.776
60,5g,Driving-10,tcp,1,1,87,155847,556,0,1801,6076,1689,422344,19375,elastic,2000,736,414,736x414,0.446,60.589,177357.154,2.192,2.796
60,5g,Driving-10,tcp,1,1,88,158359,1031,0,1801,4115,2121,530389,18864,elastic,2000,736,414,736x414,0.454,60.558,179158.488,2.188,2.807
60,5g,Driving-10,tcp,1,1,89,160749,919,0,1801,6260,2876,719186,18475,elastic,2000,736,414,736x414,0.462,60.528,180959.822,2.183,2.823
60,5g,Driving-10,tcp,1,1,90,162651,427,0,1077,10087,2153,538399,18573,elastic,2000,640,360,640x360,0.454,60.445,181314.332,2.171,2.83
60,5g,Driving-10,tcp,1,1,91,164687,525,0,1077,6432,1688,422122,18537,elastic,2000,640,360,640x360,0.446,60.361,182392.254,2.159,2.834
60,5g,Driving-10,tcp,1,1,92,166510,300,0,1077,17313,2596,649240,18715,elastic,2000,640,360,640x360,0.439,60.278,183470.176,2.147,2.841
60,5g,Driving-10,tcp,1,1,93,168453,420,0,1801,11825,2483,620834,18773,elastic,2000,736,414,736x414,0.447,60.255,184548.098,2.143,2.856
60,5g,Driving-10,tcp,1,1,94,170454,464,0,1801,9285,2154,538530,18772,elastic,2000,736,414,736x414,0.456,60.229,186349.432,2.14,2.865
60,5g,Driving-10,tcp,1,1,95,173006,899,0,2422,9429,4238,1059695,18221,elastic,2000,1280,720,1280x720,0.472,60.249,188150.766,2.143,2.897
60,5g,Driving-10,tcp,1,1,96,174973,419,0,2422,7341,1538,384500,18255,elastic,2000,1280,720,1280x720,0.489,60.27,190573.133,2.146,2.957
60,5g,Driving-10,tcp,1,1,97,177072,485,0,2422,13547,3285,821340,18157,elastic,2000,1280,720,1280x720,0.505,60.29,192995.5,2.149,2.973
60,5g,Driving-10,tcp,1,1,98,181124,2478,0,2422,2676,3316,829170,16105,elastic,2000,1280,720,1280x720,0.521,60.309,195417.867,2.151,2.987
60,5g,Driving-10,tcp,1,1,99,185156,2414,0,1077,787,950,237683,14073,elastic,2000,640,360,640x360,0.514,60.253,195151.344,2.141,2.972
60,5g,Driving-10,tcp,1,1,100,189290,2504,0,572,647,811,202759,11940,elastic,2000,512,288,512x288,0.494,60.139,195218.4,2.125,2.925
60,5g,Driving-10,tcp,1,1,101,192623,1719,0,239,390,335,83915,10607,elastic,2000,320,180,320x180,0.464,60,195124.941,2.106,2.844
60,5g,Driving-10,tcp,1,1,102,195350,1075,0,239,399,214,53706,9881,elastic,2000,320,180,320x180,0.436,59.872,195364.456,2.088,2.799
60,5g,Driving-10,tcp,1,1,103,197365,308,0,239,1471,226,56636,9866,elastic,2000,320,180,320x180,0.409,59.746,195603.971,2.07,2.746
60,5g,Driving-10,tcp,1,1,104,199661,660,0,239,437,144,36055,9571,elastic,2000,320,180,320x180,0.382,59.623,195843.486,2.052,2.718
60,5g,Driving-10,tcp,1,1,105,202620,1329,0,239,229,152,38060,8613,elastic,2000,320,180,320x180,0.357,59.502,196083.001,2.035,2.682
60,5g,Driving-10,tcp,1,1,106,205403,1118,0,239,373,209,52260,7830,elastic,2000,320,180,320x180,0.332,59.383,196322.516,2.018,2.658
60,5g,Driving-10,tcp,1,1,107,208659,1365,0,239,581,396,99227,6575,elastic,2000,320,180,320x180,0.308,59.267,196562.031,2.002,2.636
60,5g,Driving-10,tcp,1,1,108,210635,99,0,239,7098,351,87842,6600,elastic,2000,320,180,320x180,0.284,59.153,196801.546,1.985,2.615
